regime,month,hour,chiller_kwh_h,gas_smc_h,active_chiller_count,chiller_forecast_pred_kwh_h,gas_forecast_pred_smc_h
cooling,8,19,1230.9048387096775,65.85483870967742,2.8870967741935485,1227.5437887130051,65.72576524767541
cooling,8,20,1225.265,69.96774193548387,2.8870967741935485,1220.1498862608655,70.17806041529273
cooling,8,21,1198.9051612903224,69.8225806451613,2.8225806451612905,1193.5306059546122,70.59435360716392
cooling,8,22,1173.5845161290324,70.69354838709677,2.935483870967742,1172.4458530858049,71.5781049914631
cooling,8,23,1175.9329032258063,71.62903225806451,2.870967741935484,1169.5060046567137,72.77610446476314
cooling,9,0,1527.6266666666668,154.96666666666667,3.8,1527.5219437418216,156.22589980483397
cooling,9,1,1466.5668333333333,152.23333333333332,3.716666666666667,1469.6802237023971,154.17474938245593
cooling,9,2,1444.9966666666667,152.75,3.7,1447.0722491614108,153.75548351202502
cooling,9,3,1468.5753333333334,153.31666666666666,3.5833333333333335,1463.951835936599,153.7952698820588
cooling,9,4,1454.7965,162.96666666666667,3.6333333333333333,1456.33201830594,162.36982726750162
cooling,9,5,1442.5073333333335,170.08333333333334,3.6666666666666665,1446.2683292298102,169.24388414761768
cooling,9,6,1420.0263333333335,175.4055,3.5833333333333335,1425.6019973316688,174.19553689212634
cooling,9,7,1457.8911666666668,169.8555,3.6333333333333333,1463.4778290775175,169.44334440787418
cooling,9,8,1551.5213333333334,167.5555,3.683333333333333,1549.2236681820968,166.73243543039914
cooling,9,9,1664.3143333333333,162.56666666666666,3.9,1654.188051818623,162.23891423140418
cooling,9,10,1715.3153333333332,160.85416666666666,3.9833333333333334,1705.4600963483251,160.31699519482305
cooling,9,11,1741.0253333333335,151.20416666666668,3.95,1732.8551875980577,151.4546075888963
cooling,9,12,1735.3143333333333,153.57083333333333,3.933333333333333,1735.9426575001353,152.22071370641785
cooling,9,13,1778.9998333333335,152.27083333333334,4.016666666666667,1781.852758216176,151.29927203881468
cooling,9,14,1814.9971666666668,144.2055,4.083333333333333,1816.464368519924,144.33232109119712
cooling,9,15,1825.8265,142.83883333333333,4.083333333333333,1824.921110518901,142.2659366595486
cooling,9,16,1821.9173333333335,146.54716666666667,4.066666666666666,1819.9589699266223,145.45356894091293
cooling,9,17,1787.3960000000002,159.65833333333333,4.116666666666666,1789.5743824554427,158.1964048023164
cooling,9,18,1767.5415,162.875,4.066666666666666,1768.9783363580016,162.33647697131903
cooling,9,19,1734.576,163.425,4.066666666666666,1736.6938727130294,163.1954954794911
cooling,9,20,1695.1150000000002,167.38333333333333,4.0,1695.8092157926792,167.0205731435092
cooling,9,21,1620.9581666666668,164.83333333333334,3.8833333333333333,1623.4416267932734,165.96248779972217
cooling,9,22,1565.4668333333332,157.33333333333334,3.8833333333333333,1569.6850663169992,159.7528725683057
cooling,9,23,1568.145,156.26666666666668,3.8333333333333335,1565.7891193191253,157.7310838724808
cooling,10,0,1285.4040322580645,189.8841935483871,3.532258064516129,1284.6304040602358,191.92961150103451
cooling,10,1,1251.8793548387098,203.33387096774194,3.4193548387096775,1249.6347687567616,203.7292872737799
cooling,10,2,1310.8845161290321,213.97354838709677,3.532258064516129,1301.6723425652578,213.7607005857286
cooling,10,3,1260.6393548387098,208.94403225806454,3.467741935483871,1258.8382542069292,209.67684270387056
cooling,10,4,1217.5412903225806,212.46290322580646,3.3870967741935485,1223.2683194075687,212.03301887785494
cooling,10,5,1195.1911290322582,220.0677419354839,3.3548387096774195,1203.175149304318,219.06862359937017
cooling,10,6,1202.5456451612904,230.25322580645164,3.3870967741935485,1213.2427086482553,229.3534399889041
cooling,10,7,1231.8370967741935,238.49516129032259,3.3870967741935485,1240.557782128957,236.95988336584392
cooling,10,8,1278.806129032258,246.73709677419356,3.467741935483871,1281.7574591836124,244.1313003785817
cooling,10,9,1386.571129032258,237.59387096774194,3.5483870967741935,1378.6232928877857,237.0129731556303
cooling,10,10,1481.8009677419354,221.19064516129032,3.725806451612903,1470.336358459214,221.84194109593676
cooling,10,11,1504.2406451612903,213.0132258064516,3.629032258064516,1494.045736079772,213.00702076458666
cooling,10,12,1563.003870967742,206.35193548387096,3.7580645161290325,1554.938329303975,206.70505326333446
cooling,10,13,1601.946129032258,201.5616129032258,3.774193548387097,1595.632926153546,202.01857627255234
cooling,10,14,1568.9529032258065,207.70677419354837,3.7419354838709675,1573.17572851389,206.13410118723527
cooling,10,15,1595.1629032258065,202.54548387096773,3.8225806451612905,1598.4618973745555,202.0937325494251
cooling,10,16,1620.0533870967743,202.73580645161292,3.870967741935484,1619.6334911873987,202.25656675292166
cooling,10,17,1590.0354838709677,209.23870967741934,3.8870967741935485,1593.540121584057,207.97025353636533
cooling,10,18,1510.4390322580646,216.66129032258064,3.806451612903226,1518.652190110891,215.873204188178
cooling,10,19,1493.6401612903226,221.08064516129033,3.774193548387097,1496.0526867574793,221.0348266694506
cooling,10,20,1436.5045161290323,218.5,3.7096774193548385,1441.7933222490751,219.02880788654514
cooling,10,21,1385.7453225806453,213.13225806451615,3.661290322580645,1390.696171900483,214.5324492579176
cooling,10,22,1308.7020967741935,191.60000000000002,3.6129032258064515,1314.9324538318847,195.71116137088117
cooling,10,23,1306.9420967741937,188.03225806451613,3.5,1303.6728544317689,190.70498157240917
heating,1,0,231.27887096774194,309.1774193548387,1.1612903225806452,225.20917850749092,317.1886211878993
heating,1,1,213.72354838709677,311.19354838709677,1.1290322580645162,211.44311600007705,318.9832635606975
heating,1,2,190.02806451612904,313.8225806451613,1.032258064516129,188.40015274793708,321.43561530809126
heating,1,3,226.04129032258064,316.758064516129,1.1290322580645162,225.49545669181245,323.6641765623784
heating,1,4,213.57629032258063,306.7096774193548,1.1612903225806452,217.3579327567342,314.73004848953775
heating,1,5,190.99548387096777,325.3467741935484,1.2580645161290323,203.30581660852647,330.2940443219661
heating,1,6,198.95677419354837,336.2983870967742,1.1129032258064515,207.18502580530608,341.770658921516
heating,1,7,189.67548387096775,322.7258064516129,1.1290322580645162,201.73865507831928,330.7832799095383
heating,1,8,247.87225806451613,353.14516129032256,1.2096774193548387,256.1604017221756,355.7251926405934
heating,1,9,234.20032258064515,347.9516129032258,1.1451612903225807,239.5191385403411,353.80577656689024
heating,1,10,262.7606451612903,335.80645161290323,1.2903225806451613,269.05205362930656,344.11959678612334
heating,1,11,324.31951612903225,331.14516129032256,1.4193548387096775,328.87322991011234,336.9839543352162
heating,1,12,331.4635483870968,313.258064516129,1.435483870967742,336.97831954933736,320.5935123333616
heating,1,13,320.19629032258064,310.9193548387097,1.3870967741935485,328.1025435060468,318.3427303786294
heating,1,14,342.3116129032258,315.33870967741933,1.3870967741935485,345.8093002925401,320.7086229771093
heating,1,15,315.86225806451614,308.4516129032258,1.4516129032258065,324.74330734082224,315.5511764979704
heating,1,16,342.9324193548387,319.60483870967744,1.4516129032258065,347.3606208224138,324.63125951975326
heating,1,17,297.80370967741936,335.86290322580646,1.4193548387096775,303.6315159863524,340.06700993095734
heating,1,18,265.8829032258065,343.33870967741933,1.2903225806451613,268.9757650417942,350.32149808689275
heating,1,19,258.1143548387097,338.64516129032256,1.2419354838709677,257.869845561547,346.5657458394186
heating,1,20,260.9351612903226,333.80645161290323,1.1612903225806452,254.73942891815443,341.54763707897104
heating,1,21,223.91725806451615,336.43548387096774,1.1129032258064515,220.46505346273472,344.52480424084854
heating,1,22,247.89822580645162,326.14516129032256,1.2258064516129032,240.89805608683886,336.2505541141992
heating,1,23,237.65790322580645,323.64516129032256,1.3064516129032258,235.43109679424853,332.7236096583548
heating,2,0,489.33561403508776,570.0087719298245,1.5263157894736843,482.7304128712411,570.4135871708397
heating,2,1,499.3261403508772,572.9298245614035,1.5789473684210527,492.3533884608635,573.8847587731699
heating,2,2,459.6331578947368,571.3684210526316,1.3859649122807018,456.02251904836055,572.1191864256657
heating,2,3,461.3636842105263,571.7894736842105,1.3859649122807018,459.0192544363544,571.6890744923868
heating,2,4,476.0231578947368,580.030701754386,1.4385964912280702,475.04116797544475,579.037704639281
